Question,Marking Scheme,Student Response,Answer Rating
"Explain, using information from the extract, why the size of Japan’s population has fallen in recent years.","The birth rate has fallen (1) more than the fall in the death rate ,A fall in the birth rate means fewer children are being born, a reason e.g. more women working / people working longer hours / job insecurity /looking after elderly relatives , A fall in the death rate means people are living longer ,If the birth rate falls by more than the death rate there may be a natural decrease in population ,actual decrease if natural decrease is more than net immigration, extra number of older people is more than offset by fewer babies ","Japan population has fallen due to decrease in birth rate in the country owing to certain government policies. Also, government has allowed for improved conditions assisting the general population structure. ",3
" Explain, using information from the extract, why the size of Japan’s population has fallen in recent years.","The birth rate has fallen (1) more than the fall in the death rate ,A fall in the birth rate means fewer children are being born, a reason e.g. more women working / people working longer hours / job insecurity /looking after elderly relatives , A fall in the death rate means people are living longer ,If the birth rate falls by more than the death rate there may be a natural decrease in population ,actual decrease if natural decrease is more than net immigration, extra number of older people is more than offset by fewer babies ",People are dying more in the country and this reducing the population.,1
What is meant by ‘fixed cost’?,A cost that does not change with output/production in the short run ,Fixed cost refers to cost of things that do not change with output such as equipment. These costs are absent in the long run where all factors of production vary with output level. It can be arrived mathematically as FC= Total Cost-Variable Cost,3
What is meant by ‘fixed cost’?,A cost that does not change with output/production in the short run ,These are costs of things that do not change with output.,2
What is meant by ‘fixed cost’?,A cost that does not change with output/production in the short run ,These are costs that are fixed.,1
Identify two types of business organisation that operate in the private sector,"sole trader, public limited companies, cooperatives, multinationals",Two types of business organisation in private sector are sole proprietorship which is just one owner and a partnership business involving more than one owners.,3
Identify two types of business organisation that operate in the private sector,"sole trader, public limited companies, cooperatives, multinationals",Sole Proprietor and Partnership,2
Identify two types of business organisation that operate in the private sector,"sole trader, public limited companies, cooperatives, multinationals",one person business and two person business,1
Explain what effect more firms producing tyres would have on the Price elasticity of demand of individual firms’ tyres,"Will increase competition, more substitutes will be available, a rise in the price of one firm’s tyres would cause people to switch to other firms’ tyres , demand would become more elastic.",The effect on PED is that it becomes elastic due to more producers.,2
Explain what effect more firms producing tyres would have on the Price elasticity of demand of individual firms’ tyres,"Will increase competition, more substitutes will be available, a rise in the price of one firm’s tyres would cause people to switch to other firms’ tyres , demand would become more elastic.",The will be more change in the demand of the good,1
Explain what effect more firms producing tyres would have on the Price elasticity of demand of individual firms’ tyres,"Will increase competition, more substitutes will be available, a rise in the price of one firm’s tyres would cause people to switch to other firms’ tyres , demand would become more elastic.","The effect on PED is that it becomes more elastic. This is because as there are more firms, substitutes exist and a small change in price of a firms tire will lead to greater change in the quantity demanded of the product.",3
Explain how market forces will eliminate a surplus and a shortage,"A surplus will be eliminated by a fall in price (1) demand will rise / supply will fall, a shortage will be eliminated by a rise in price, demand will fall /supply will rise.",Surplus is addressed by fall in price while shortage is dealt with by rise in price. ,2
Explain how market forces will eliminate a surplus and a shortage,"A surplus will be eliminated by a fall in price (1) demand will rise / supply will fall, a shortage will be eliminated by a rise in price, demand will fall /supply will rise.",Surplus and shortage are dealt with by an interaction of market forces in the economy,1
Explain how market forces will eliminate a surplus and a shortage,"A surplus will be eliminated by a fall in price (1) demand will rise / supply will fall, a shortage will be eliminated by a rise in price, demand will fall /supply will rise.","Surplus is usually dealt with by market force through a fall in price. As price falls, consumers demand more while suppliers reduce the rate of goods that they actually produce in the process. On the other hand, shortage is dealt with via rise in price of the product. As prices rise, there is low demand for the product while suppliers have high incentive to produce goods.",3
Analyse how improvements in education can affect the pattern of employment.,"May be more skilled workers increase qualifications, workers may seek better paid jobs, jobs with better working conditions, There is likely to be a reduction in primary sector employment, an increase in secondary / tertiary sector employment.May be an increase in women in employment, if girls benefit from improvements in education, May increase employment of teachers if e.g. class sizes are reduced ,may encourage an increase in migrant workers  attracted by better education for their children","Due to improvement in education, people are able to hold better qualifications and have jobs with good working conditions. As their level of qualification improve, they seek more jobs in the white collar sector and leave primary jobs like subsistence farming",3
Analyse how improvements in education can affect the pattern of employment.,"May be more skilled workers increase qualifications, workers may seek better paid jobs, jobs with better working conditions, There is likely to be a reduction in primary sector employment, an increase in secondary / tertiary sector employment.May be an increase in women in employment, if girls benefit from improvements in education, May increase employment of teachers if e.g. class sizes are reduced ,may encourage an increase in migrant workers  attracted by better education for their children","Through improvement in education, people seek well paying jobs and abandon old one.",2
Analyse how improvements in education can affect the pattern of employment.,"May be more skilled workers increase qualifications, workers may seek better paid jobs, jobs with better working conditions, There is likely to be a reduction in primary sector employment, an increase in secondary / tertiary sector employment.May be an increase in women in employment, if girls benefit from improvements in education, May increase employment of teachers if e.g. class sizes are reduced ,may encourage an increase in migrant workers  attracted by better education for their children",There are less farmers and everyone goes to the city for jobs and employment opportunities,1
Define a capital good,A human-made good used to produce other goods and services.,They are goods that bring up others.,2
Define a capital good,A human-made good used to produce other goods and services.,They are goods that require huge capital outlay,1
Define a capital good,A human-made good used to produce other goods and services.,"These are goods that are used in the production of other goods and services. They include vehicles, buildings and machines.",3
Explain two causes of an increase in a country’s Human Development Index,"an increase in GDP / GNI / income per head raises the goods and services people can consume / due to e.g. higher employment, an increase in life expectancy  indicates better healthcare / due to better healthcare / more investment in healthcare, an increase in education mean and expected years of schooling increases job opportunities / quality of life / due to government investing more in education",When people are healthy and when they like the government everytime,1
Explain two causes of an increase in a country’s Human Development Index,"an increase in GDP / GNI / income per head raises the goods and services people can consume / due to e.g. higher employment, an increase in life expectancy  indicates better healthcare / due to better healthcare / more investment in healthcare, an increase in education mean and expected years of schooling increases job opportunities / quality of life / due to government investing more in education",One of the major causes of an increase in Human Development Index is increase in Gdp per capita which helps to improve living standard. Another important cause of increase is the improvement in education standards in the country which makes people better.,3
Explain two causes of an increase in a country’s Human Development Index,"an increase in GDP / GNI / income per head raises the goods and services people can consume / due to e.g. higher employment, an increase in life expectancy  indicates better healthcare / due to better healthcare / more investment in healthcare, an increase in education mean and expected years of schooling increases job opportunities / quality of life / due to government investing more in education",Increase in GDP of the economy. Education,2
Identify two supply-side policy measures,"a cut in income tax, a cut in corporation tax, a cut in unemployment benefit, education, training, privatization, deregulation, subsidy, legislation to reduce trade union power",Supply side policy are government attempts to increase productivity in the economy. One of such way will be reducing tax rate in the general economy and reducing unemployment benefits to make people partake more in jobs and employment process.,3
Identify two supply-side policy measures,"a cut in income tax, a cut in corporation tax, a cut in unemployment benefit, education, training, privatization, deregulation, subsidy, legislation to reduce trade union power",Cut in taxes and bringing up legislations,2
Identify two supply-side policy measures,"a cut in income tax, a cut in corporation tax, a cut in unemployment benefit, education, training, privatization, deregulation, subsidy, legislation to reduce trade union power",Increasing prices and hoarding commodities in the market.,1
Explain two ways a government could reduce relative poverty,"progressive taxation / higher direct taxes (1) which takes a higher proportion of the income of the rich, reduction of tax on basic foodstuffs / indirect taxes benefiting mainly the poor, state benefits given to the poor increasing their purchasing power/ living standards, education and training of the poor increasing their earning. Potential, provision of healthcare to the poor increasing productivity/reducing cost of medication, provision of subsidies to firms reducing unemployment / reducing prices",One way of doing this is for government to properly tax the rich and make use of progressive tax policy.Another way is by giving state benefits to enable them increase their buying power ,3
Explain two ways a government could reduce relative poverty,"progressive taxation / higher direct taxes (1) which takes a higher proportion of the income of the rich, reduction of tax on basic foodstuffs / indirect taxes benefiting mainly the poor, state benefits given to the poor increasing their purchasing power/ living standards, education and training of the poor increasing their earning. Potential, provision of healthcare to the poor increasing productivity/reducing cost of medication, provision of subsidies to firms reducing unemployment / reducing prices",Government can do this by making people live within their means and making them appreciate what they have,1
Explain two ways a government could reduce relative poverty,"progressive taxation / higher direct taxes (1) which takes a higher proportion of the income of the rich, reduction of tax on basic foodstuffs / indirect taxes benefiting mainly the poor, state benefits given to the poor increasing their purchasing power/ living standards, education and training of the poor increasing their earning. Potential, provision of healthcare to the poor increasing productivity/reducing cost of medication, provision of subsidies to firms reducing unemployment / reducing prices",Government can eliminate this by implementing good tax policy and by improving living standard,2
Analyse the reasons why small shops may be easy to set up,"They do not take much money to set up, costs initially will be low. low fixed costs it may be possible to borrow the money or use savings. There may be government subsidies designed to encourage the growth of small firms/shops / lower costs of production. Running a small shop does not require significant management skills people do not need a high level of education to run a small shop, may be less paperwork involved / regulations reducing time and effort.",The nature of the business and small things are easy,1
Analyse the reasons why small shops may be easy to set up,"They do not take much money to set up, costs initially will be low. low fixed costs it may be possible to borrow the money or use savings. There may be government subsidies designed to encourage the growth of small firms/shops / lower costs of production. Running a small shop does not require significant management skills people do not need a high level of education to run a small shop, may be less paperwork involved / regulations reducing time and effort.",The capital is small and no experience is required.,2
Analyse the reasons why small shops may be easy to set up,"They do not take much money to set up, costs initially will be low. low fixed costs it may be possible to borrow the money or use savings. There may be government subsidies designed to encourage the growth of small firms/shops / lower costs of production. Running a small shop does not require significant management skills people do not need a high level of education to run a small shop, may be less paperwork involved / regulations reducing time and effort.",": An important reason is that it has small capital requirement and cost will generally be low. Also, due to small nature, management skills required is small and limited",3
Identify two reasons why market failure may occur.,The existence of external costs and external benefits. Abuse of monopoly power advertising distorting choice. Inefficient allocation of resources / not producing the right quantity / not producing at the lowest possible cost.,One of the reasons is externality and another reason is lack of control on resources,2
Identify two reasons why market failure may occur.,The existence of external costs and external benefits. Abuse of monopoly power advertising distorting choice. Inefficient allocation of resources / not producing the right quantity / not producing at the lowest possible cost.,Lack of transparent habit by participants and lak of laws and regulation.,1
Identify two reasons why market failure may occur.,The existence of external costs and external benefits. Abuse of monopoly power advertising distorting choice. Inefficient allocation of resources / not producing the right quantity / not producing at the lowest possible cost.,positive and negative externality in the economy. Absence of public goods can also lead to market failure in the economy.,3
   Explain how resources are allocated in a mixed economic system.,"Resources in the public sector are allocated by government decisions/directives products are produced by state-owned
enterprises resources are allocated to overcome market failure. Resources in the private sector are allocated by the price mechanism / market forces demand and supply / firms / consumer sovereignty, profit provides an incentive for firms to produce what consumers demand.
Resources in the public sector are allocated by government decisions/directives products are produced by state-owned
enterprises resources are allocated to overcome market failure. Resources in the private sector are allocated by the price mechanism / market forces demand and supply / firms / consumer sovereignty, profit provides an incentive for firms to produce what consumers demand.
",Both private and public sector are involved in resources allocation in mixed economy,1
Explain how resources are allocated in a mixed economic system.,"Resources in the public sector are allocated by government decisions/directives products are produced by state-owned enterprises resources are allocated to overcome market failure. Resources in the private sector are allocated by the price mechanism / market forces demand and supply / firms / consumer sovereignty, profit provides an incentive for firms to produce what consumers demand",Resources are allocated through market force and government.,2
Explain how resources are allocated in a mixed economic system.,"Resources in the public sector are allocated by government decisions/directives products are produced by state-owned enterprises resources are allocated to overcome market failure. Resources in the private sector are allocated by the price mechanism / market forces demand and supply / firms / consumer sovereignty, profit provides an incentive for firms to produce what consumers demand","A mixed economy consist of the private sector and public sector. In the private sector, resources are allocated using price mechanism and market forces while in the public sector, resources are allocated through state-owned enterprise.",3
Analyse how a high rate of inflation may harm the poor,"Inflation may raise the price of basic necessities reducing purchasing power of the poor increasing absolute poverty. Inflation may reduce the value of any savings the poor have reducing their ability to access e.g. healthcare, education and housing reducing job opportunities. Inflation may reduce the country’s international competitiveness lower output increase unemployment making it more difficult for the poor to gain jobs. Inflation may reduce the purchasing power of state benefits e.g. pensions or unemployment. The poor may be less likely to belong to trade unions less ability to raise wages.","Inflation can harm the poor via several channels which include consumption and savings. When prices go up, poor peoples purchasing power falls and they are unable to consume more goods. Also, the level of savings generally falls.",3
Analyse how a high rate of inflation may harm the poor,"Inflation may raise the price of basic necessities reducing purchasing power of the poor increasing absolute poverty. Inflation may reduce the value of any savings the poor have reducing their ability to access e.g. healthcare, education and housing reducing job opportunities. Inflation may reduce the country’s international competitiveness lower output increase unemployment making it more difficult for the poor to gain jobs. Inflation may reduce the purchasing power of state benefits e.g. pensions or unemployment. The poor may be less likely to belong to trade unions less ability to raise wages.","When there is inflation, people consume less and save less too.",2
Analyse how a high rate of inflation may harm the poor,"Inflation may raise the price of basic necessities reducing purchasing power of the poor increasing absolute poverty. Inflation may reduce the value of any savings the poor have reducing their ability to access e.g. healthcare, education and housing reducing job opportunities. Inflation may reduce the country’s international competitiveness lower output increase unemployment making it more difficult for the poor to gain jobs. Inflation may reduce the purchasing power of state benefits e.g. pensions or unemployment. The poor may be less likely to belong to trade unions less ability to raise wages.","During inflation, the poor get worse and are left at the mercy of government.",1
 Explain two reasons why the price of sugar may fall.,"demand may fall supply may increase, a fall in income will lower demand because of less purchasing power, a fall in population will lower demand as there will be fewer consumers, a change in tastes will lower demand as people may find sugar less appealing, concern about health will lower demand as consumers will switch to other foods, a rise in the price of a complement, a fall in the price of a substitute e.g. sweeteners, reduction in costs of production will increase supply as it is likely to lead to higher profits, subsidies will increase supply as they will give an incentive to firms to produce more, a cut in indirect tax will increase supply as it lowers costs, good weather conditions will increase supply as less of the crop will be lost more firms in the market increasing competition in the market.","Fall in income: When the income of consumers fall, they demand less of the product. As demand falls, price of the good fall also. Change in taste: People can switch consumption from sugar, as they do this, demand falls and price of the good falls also",3
 Explain two reasons why the price of sugar may fall.,"demand may fall supply may increase, a fall in income will lower demand because of less purchasing power, a fall in population will lower demand as there will be fewer consumers, a change in tastes will lower demand as people may find sugar less appealing, concern about health will lower demand as consumers will switch to other foods, a rise in the price of a complement, a fall in the price of a substitute e.g. sweeteners, reduction in costs of production will increase supply as it is likely to lead to higher profits, subsidies will increase supply as they will give an incentive to firms to produce more, a cut in indirect tax will increase supply as it lowers costs, good weather conditions will increase supply as less of the crop will be lost more firms in the market increasing competition in the market.",Price will fall because people don’t use it every time and it is possible they live without it.,1
 Explain two reasons why the price of sugar may fall.,"demand may fall supply may increase, a fall in income will lower demand because of less purchasing power, a fall in population will lower demand as there will be fewer consumers, a change in tastes will lower demand as people may find sugar less appealing, concern about health will lower demand as consumers will switch to other foods, a rise in the price of a complement, a fall in the price of a substitute e.g. sweeteners, reduction in costs of production will increase supply as it is likely to lead to higher profits, subsidies will increase supply as they will give an incentive to firms to produce more, a cut in indirect tax will increase supply as it lowers costs, good weather conditions will increase supply as less of the crop will be lost more firms in the market increasing competition in the market.","AS there are less income, price of the good begin to fall in the market and when taste change, price of the good will fall",2
Analyse the possible reasons why a producer’s fixed cost may increase.,Fixed costs are costs that do not alter with output in the short run. Rent may increase landlords may decide to charge more for factories and offices. The amount charged for insurance may increase insurance companies may be seeking higher profits / their costs may have risen. Interest paid on loans may increase e.g. the central bank may have increased the rate of interest. A firm may have moved to a larger factory / changed its production process / using more capital goods leading to higher fixed capital costs. Inflation may occur increasing e.g. the cost of workers with long-term contracts,Fixed cost will change due to other factors considered during the process of production,2
Analyse the possible reasons why a producer’s fixed cost may increase.,Fixed costs are costs that do not alter with output in the short run. Rent may increase landlords may decide to charge more for factories and offices. The amount charged for insurance may increase insurance companies may be seeking higher profits / their costs may have risen. Interest paid on loans may increase e.g. the central bank may have increased the rate of interest. A firm may have moved to a larger factory / changed its production process / using more capital goods leading to higher fixed capital costs. Inflation may occur increasing e.g. the cost of workers with long-term contracts,Fixed cost can increase during the course of production but this will not be in relation to production activity or levels. Increase is usually caused by several other reasons and factors other than level of production activity,3
Analyse the possible reasons why a producer’s fixed cost may increase.,Fixed costs are costs that do not alter with output in the short run. Rent may increase landlords may decide to charge more for factories and offices. The amount charged for insurance may increase insurance companies may be seeking higher profits / their costs may have risen. Interest paid on loans may increase e.g. the central bank may have increased the rate of interest. A firm may have moved to a larger factory / changed its production process / using more capital goods leading to higher fixed capital costs. Inflation may occur increasing e.g. the cost of workers with long-term contracts,Fixed cost can change as production level changes as time goes on.,1
Define a surplus on the current account of the balance of payments.,When the revenue from trade in goods and trade in services exported exceeds the revenue from trade in goods and trade in services imported. When the inflow from primary income and secondary income is higher than the outflow of primary income and secondary income. Exports greater than imports,This is when there is a surplus on the current account balance in international trade,1
Define a surplus on the current account of the balance of payments.,When the revenue from trade in goods and trade in services exported exceeds the revenue from trade in goods and trade in services imported. When the inflow from primary income and secondary income is higher than the outflow of primary income and secondary income. Exports greater than imports,Current account surplus is when export exceeds imports,2
Define a surplus on the current account of the balance of payments.,When the revenue from trade in goods and trade in services exported exceeds the revenue from trade in goods and trade in services imported. When the inflow from primary income and secondary income is higher than the outflow of primary income and secondary income. Exports greater than imports,Surplus on current account refers to a condition in which revenue from trade in goods and services exceeds expenditure spent on goods and services.,3
Explain two possible causes of low unemployment.,"high levels of economic growth/GDP output requires more workers, high levels of education and training acquire skills needed for jobs, high levels of investment high demand for workers, high levels of consumer spending more production / more labour, high levels of exports increasing demand for labour high government spending / low taxes to stimulate economic growth low interest rates encouraging more consumption / investment.",Desire to work and general attitude of workers.,1
Explain two possible causes of low unemployment.,"high levels of economic growth/GDP output requires more workers, high levels of education and training acquire skills needed for jobs, high levels of investment high demand for workers, high levels of consumer spending more production / more labour, high levels of exports increasing demand for labour high government spending / low taxes to stimulate economic growth low interest rates encouraging more consumption / investment.",Government spending on the economy and improved investment spending on the economy.,2
Explain two possible causes of low unemployment.,"high levels of economic growth/GDP output requires more workers, high levels of education and training acquire skills needed for jobs, high levels of investment high demand for workers, high levels of consumer spending more production / more labour, high levels of exports increasing demand for labour high government spending / low taxes to stimulate economic growth low interest rates encouraging more consumption / investment.","Increased investment spending: As investment spending increases in the economy, more industries are born which leads to low unemployment. Increased levels of economic growth: With more or improved level of economic growth, there is a better climate which leads to high unemployment levels.",3
Analyse how long-term unemployment can cause relative poverty.,"Relative poverty is when household income is low compared to the average income in that country, e.g. less than 60% of average income. Long-term unemployed have very low incomes cannot afford items which average households are able to e.g. adequate housing, healthcare may depend on government benefits may be unable to provide children with good education children may not be able to take up good jobs productivity may be lower compared to those who are better educated. Savings will be used up reducing the ability to escape poverty. Health deteriorates reducing the ability to find work depression may occur reducing the motivation to find work.",Extended unemployment will cause people not to live well and have poverty which can increase crime rate.,1
Analyse how long-term unemployment can cause relative poverty.,"Relative poverty is when household income is low compared to the average income in that country, e.g. less than 60% of average income. Long-term unemployed have very low incomes cannot afford items which average households are able to e.g. adequate housing, healthcare may depend on government benefits may be unable to provide children with good education children may not be able to take up good jobs productivity may be lower compared to those who are better educated. Savings will be used up reducing the ability to escape poverty. Health deteriorates reducing the ability to find work depression may occur reducing the motivation to find work.","When an individual is unemployed for an extended period of time, they are cut short from ability to purchase what every member of the society can afford. Savings they have accumulated is used up on consumption and they are unable to live up just like everyone else.",3
Analyse how long-term unemployment can cause relative poverty.,"Relative poverty is when household income is low compared to the average income in that country, e.g. less than 60% of average income. Long-term unemployed have very low incomes cannot afford items which average households are able to e.g. adequate housing, healthcare may depend on government benefits may be unable to provide children with good education children may not be able to take up good jobs productivity may be lower compared to those who are better educated. Savings will be used up reducing the ability to escape poverty. Health deteriorates reducing the ability to find work depression may occur reducing the motivation to find work.","When there is long-term unemployment, people are not able to live comfortably like every other member of the society.",2
Define supply-side policy,Policy which is designed to increase the total (aggregate) output / supply / productive capacity of an economy. Policy aimed at making markets work more efficiently to encourage economic growth,These are policies by government that improve production capacity in the economy,2
Define supply-side policy,Policy which is designed to increase the total (aggregate) output / supply / productive capacity of an economy. Policy aimed at making markets work more efficiently to encourage economic growth,These are policies from the suppliers in the economy,1
Define supply-side policy,Policy which is designed to increase the total (aggregate) output / supply / productive capacity of an economy. Policy aimed at making markets work more efficiently to encourage economic growth,"These refers to policies by government to improve market efficiency and productivity.  They aim at improving production capacity in the economy. It includes cutting tax rate, increasing government spending ",3
Explain two functions of the stock exchange,"raising capital for businesses by selling shares to the investing public, mobilising savings for investment through purchase of shares, funds are put into productive activities in the hope of generating high returns, government finance raising for development projects, share prices as a general indicator of the performance of the economy",Stock exchange helps to trade stock. Stock exchange helps to manage transactions in the economy.,1
Explain two functions of the stock exchange,"raising capital for businesses by selling shares to the investing public, mobilising savings for investment through purchase of shares, funds are put into productive activities in the hope of generating high returns, government finance raising for development projects, share prices as a general indicator of the performance of the economy",Assists to raise money.Helps in measuring the economic performance.,2
Explain two functions of the stock exchange,"raising capital for businesses by selling shares to the investing public, mobilising savings for investment through purchase of shares, funds are put into productive activities in the hope of generating high returns, government finance raising for development projects, share prices as a general indicator of the performance of the economy",The stock exchange aims to assist companies and government raise capital from the public through regulations put in place. It acts as an important measure of performance in the economy,3
Analyse two possible conflicts between government aims.,"Lower unemployment vs. price stability lower unemployment means higher incomes increasing total demand creating demand-pull inflation lower unemployment means less spare capacity wage demands increase wage price spiral. Economic growth vs. price stability production increases faster than the increase in resources increase in total demand leads to higher prices rather than increased output and employment. Economic growth vs. environmental protection output increases consumption increases causing a rise in external costs example e.g. pollution, destruction of habitats.",Polies that can clash is unemployment and price in the economy and fiscal policy and monetary policies,1
Analyse two possible conflicts between government aims.,"Lower unemployment vs. price stability lower unemployment means higher incomes increasing total demand creating demand-pull inflation lower unemployment means less spare capacity wage demands increase wage price spiral. Economic growth vs. price stability production increases faster than the increase in resources increase in total demand leads to higher prices rather than increased output and employment. Economic growth vs. environmental protection output increases consumption increases causing a rise in external costs example e.g. pollution, destruction of habitats.","Government policies often clashes. One of government policies that clash is low unemployment and price stability. As unemployment reduces, there is more income available to people which causes increase in demand and ultimately generating demand pull inflation which distorts price stability. Another policy of government that can clash is economic growth and price stability. When production increase, there is increased demand which then cause higher prices which then distorts price stability.",3
Analyse two possible conflicts between government aims.,"Lower unemployment vs. price stability lower unemployment means higher incomes increasing total demand creating demand-pull inflation lower unemployment means less spare capacity wage demands increase wage price spiral. Economic growth vs. price stability production increases faster than the increase in resources increase in total demand leads to higher prices rather than increased output and employment. Economic growth vs. environmental protection output increases consumption increases causing a rise in external costs example e.g. pollution, destruction of habitats.","When there is low unemployment, there will be inflation in the economy. Also, when there is economic growth, inflation tend to occur also in the economy",2
Identify two motives for consumer spending.,"to satisfy needs, to satisfy wants, fear of future price rises, to gain satisfaction from that consumption, improve standard of living, form of investment",Consumer spending is usually made to satisfy wants- which is essential for every person-from the use of a good.To improve general living standards,3
Identify two motives for consumer spending.,"to satisfy needs, to satisfy wants, fear of future price rises, to gain satisfaction from that consumption, improve standard of living, form of investment",To contribute to supplier and to be in line with current vogue.,1
Identify two motives for consumer spending.,"to satisfy needs, to satisfy wants, fear of future price rises, to gain satisfaction from that consumption, improve standard of living, form of investment","To meet wants, To be satisfied",2
Explain two benefits a firm can gain by borrowing.,"it can pay running costs / unexpected expenses (1) to enable the firm to stay in business, it can invest/purchase capital to lower costs/improve efficiency to increase profits, it can improve products/add new products by spending on R&D, it can spend on advertising to increase demand/market share, in a recession, it can help to cover its costs in order to stay in business, e.g. paying wages, covering debts",Expansion: A firm will borrow to expand and be able to cater for different expansion costs that might be involved. Another reason why firm can borrow is to improve its products and offerings to customers than its competitors.,3
Explain two benefits a firm can gain by borrowing.,"it can pay running costs / unexpected expenses (1) to enable the firm to stay in business, it can invest/purchase capital to lower costs/improve efficiency to increase profits, it can improve products/add new products by spending on R&D, it can spend on advertising to increase demand/market share, in a recession, it can help to cover its costs in order to stay in business, e.g. paying wages, covering debts",Firms borrow to grow than others and also borrow to look better than competitors.,2
Explain two benefits a firm can gain by borrowing.,"it can pay running costs / unexpected expenses (1) to enable the firm to stay in business, it can invest/purchase capital to lower costs/improve efficiency to increase profits, it can improve products/add new products by spending on R&D, it can spend on advertising to increase demand/market share, in a recession, it can help to cover its costs in order to stay in business, e.g. paying wages, covering debts",Firms borrow to have more money and also to look big than others.,1
Analyse two consequences of a depreciating foreign exchange rate.,"price of exports decreases quantity of exports demanded increases value of exports increases net exports increase, price of imports increases quantity demanded for imports decreases value of imports decreases, current account deficit decreases / surplus increases total (aggregate) demand increases inflation increases, price of imported raw materials / semi-finished goods increases cost of production increases price level increases / inflation discourages savers from overseas who fear losing money.",Devaluation can cause inflation and distortion in price stability,1
Analyse two consequences of a depreciating foreign exchange rate.,"price of exports decreases quantity of exports demanded increases value of exports increases net exports increase, price of imports increases quantity demanded for imports decreases value of imports decreases, current account deficit decreases / surplus increases total (aggregate) demand increases inflation increases, price of imported raw materials / semi-finished goods increases cost of production increases price level increases / inflation discourages savers from overseas who fear losing money.","When a foreign currency depreciate, exports becomes cheaper to foreign customers and imports become more expensive. In the short run this can lead to inflation, higher growth and increased demand for the product.",3
Analyse two consequences of a depreciating foreign exchange rate.,"price of exports decreases quantity of exports demanded increases value of exports increases net exports increase, price of imports increases quantity demanded for imports decreases value of imports decreases, current account deficit decreases / surplus increases total (aggregate) demand increases inflation increases, price of imported raw materials / semi-finished goods increases cost of production increases price level increases / inflation discourages savers from overseas who fear losing money.",Devaluation leads to more exports and makes imports unattractive.,2
Define public limited company,A company whose shares are traded on a stock exchange these shares can be bought and sold by the public the company has limited liability.,Public limited company is a company that is in the hands of the public instead of private owners,1
Define public limited company,A company whose shares are traded on a stock exchange these shares can be bought and sold by the public the company has limited liability.,Public limited company has shares limited and traded on stock exchange,2
Define public limited company,A company whose shares are traded on a stock exchange these shares can be bought and sold by the public the company has limited liability.,A public limited company is that which has unlimited number of shareholders with shares traded on the stock exchange which allows transferability,3
Explain two reasons for growth in average earnings,"increase in demand for goods and services increase demand for workers / derived demand an increase in demand would increase wages. increase in inflation workers demand higher wages. trade union bargaining power e.g. threat of industrial action. increased productivity of workers increasing demand for labour. reduction in income tax increasing disposable incomes. the legal minimum wage increases the lowest paid earn more, increasing the average","An increase in demand for goods and services: When people demand more goods, there is an increased demand for labour to make those goods which then leads to higher wages. Inflation Condition: When there is high rate of inflation within the country, employees or labour demand more money to meet up with their spending capability",3
Explain two reasons for growth in average earnings,"increase in demand for goods and services increase demand for workers / derived demand an increase in demand would increase wages. increase in inflation workers demand higher wages. trade union bargaining power e.g. threat of industrial action. increased productivity of workers increasing demand for labour. reduction in income tax increasing disposable incomes. the legal minimum wage increases the lowest paid earn more, increasing the average",Average earnings increase when total quantity increases and when the total earnings rises,1
Explain two reasons for growth in average earnings,"increase in demand for goods and services increase demand for workers / derived demand an increase in demand would increase wages. increase in inflation workers demand higher wages. trade union bargaining power e.g. threat of industrial action. increased productivity of workers increasing demand for labour. reduction in income tax increasing disposable incomes. the legal minimum wage increases the lowest paid earn more, increasing the average",An increase in the demand for good. When price start to increase in the market,2
Explain two reasons why a firm would want to specialise in producing only one product.,a firm can specialise in what it is best at producing increasing efficiency / productivity achieve economies of scale decrease cost of production. leading to higher output / higher profits. increasing global demand which would raise revenue. resources are well suited to the product e.g. good climate. a firm can gain a good reputation in producing the product specialisation may improve the quality of the product increasing demand for the product.,To increase the profit made by the firm. To ensure that it reduces cost in the process of production,2
Explain two reasons why a firm would want to specialise in producing only one product.,a firm can specialise in what it is best at producing increasing efficiency / productivity achieve economies of scale decrease cost of production. leading to higher output / higher profits. increasing global demand which would raise revenue. resources are well suited to the product e.g. good climate. a firm can gain a good reputation in producing the product specialisation may improve the quality of the product increasing demand for the product.,A firm will specialise in the production of one good to achieve economies of scale and also improve efficiency.  Another reason a firm will concentrate on just a product is when resources to be used are strictly directed towards it,3
Explain two reasons why a firm would want to specialise in producing only one product.,a firm can specialise in what it is best at producing increasing efficiency / productivity achieve economies of scale decrease cost of production. leading to higher output / higher profits. increasing global demand which would raise revenue. resources are well suited to the product e.g. good climate. a firm can gain a good reputation in producing the product specialisation may improve the quality of the product increasing demand for the product.,To be a king in the product. To achieve maximum profit during the process,1
Analyse how the ability of firms to produce on a larger scale is beneficial to consumers,Producing on a larger scale may enable economies of scale example when average costs decrease. Price of the product may fall enabling consumers to buy more of the product improving living standards. Producing on a larger scale reduces shortages increases the quantity of products available to consumers. Producing on a larger scale may enable more to be spent on R&D increasing the quality of products available to consumers.,"As firms produce more, customers are able to demand more products as they now have a lot option to pick from.",1
Analyse how the ability of firms to produce on a larger scale is beneficial to consumers,Producing on a larger scale may enable economies of scale example when average costs decrease. Price of the product may fall enabling consumers to buy more of the product improving living standards. Producing on a larger scale reduces shortages increases the quantity of products available to consumers. Producing on a larger scale may enable more to be spent on R&D increasing the quality of products available to consumers.,"When they produce more, cost falls and customers enjoy more and demand for more",2
