,Question,Marking Scheme,Student Response,Answer Rating,ms_le,st_le,ms_n_words,st_n_words,word_Common,word_Total,word_share,fuzz_partial_ratio,fuzz_partial_token_set_ratio,fuzz_partial_token_sort_ratio,fuzz_token_set_ratio,fuzz_token_sort_ratio
81,Define a market,"An arrangement that brings buyers and sellers into contact / products are bought and sold, Buyers and sellers",Market is described as a place or arrangement for the exchange of goods and services. It describes a means of facilitating transactions between people,3,109,150,18,24,2.0,36.0,0.05555555555555555,39,100,32,34,31
82,Define a market,"An arrangement that brings buyers and sellers into contact / products are bought and sold, Buyers and sellers",Market is a place where people meet to buy and trade goods.,1,109,59,18,12,1.0,26.0,0.038461538461538464,36,100,36,33,32
83,Define a market,"An arrangement that brings buyers and sellers into contact / products are bought and sold, Buyers and sellers",Market is a place where buyer and sellers meet to exchange value.,2,109,65,18,12,2.0,26.0,0.07692307692307693,51,100,47,39,35
84,Explain two reasons why the supply of a raw material such as oil may rise in the future.,"New supplies may be discovered after investment searching for Them, Price may rise giving suppliers a profit incentive to supply more, Advances in technology / cuts in wages may reduce costs of obtaining the raw material, Government subsidies providing finance to search for oil / greater incentive to increase output",Due to advanced technology which enables more output at less cost.  Increased supply from discovery of new source due to more investment spending in the field.,3,317,159,50,27,9.0,66.0,0.13636363636363635,36,100,46,57,50
85, Explain two reasons why the supply of a raw material such as oil may rise in the future.,"New supplies may be discovered after investment searching for Them, Price may rise giving suppliers a profit incentive to supply more, Advances in technology / cuts in wages may reduce costs of obtaining the raw material, Government subsidies providing finance to search for oil / greater incentive to increase output",Reduction in future cost from technology.Supply increase from new oil well,2,317,74,50,11,4.0,52.0,0.07692307692307693,41,100,38,70,30
86, Explain two reasons why the supply of a raw material such as oil may rise in the future.,"New supplies may be discovered after investment searching for Them, Price may rise giving suppliers a profit incentive to supply more, Advances in technology / cuts in wages may reduce costs of obtaining the raw material, Government subsidies providing finance to search for oil / greater incentive to increase output",Oil will continue to be relevant and because people demand for oil will surely grow in the future,1,317,97,50,18,6.0,58.0,0.10344827586206896,37,100,39,37,29
87,Identify two types of business organisation that operate in the private sector.,"sole trader, public limited companies, cooperatives, multinationals",Dangote Plc and First Bank Holdings,1,67,35,7,6,0.0,13.0,0.0,32,29,29,28,28
88,Identify two types of business organisation that operate in the private sector.,"sole trader, public limited companies, cooperatives, multinationals",Two types of business organisation in private sector are sole proprietorship which is just one owner and a partnership business involving more than one owners,3,67,158,7,25,1.0,30.0,0.03333333333333333,28,100,28,20,23
89,Identify two types of business organisation that operate in the private sector.,"sole trader, public limited companies, cooperatives, multinationals",Sole proprietor and public limited companies,2,67,44,7,6,3.0,13.0,0.23076923076923078,70,100,59,79,59
90,Identify two methods of trade protection other than tariffs,"quotas, embargoes, voluntary export restraint, red tape / bureaucracy / artificially high standards, subsidies",Two method of trade protection other than tariff is quota which is limiting the amount of goods to be imported. Embargoes which totally stops import of certain goods into the country,3,110,182,14,31,0.0,38.0,0.0,37,100,43,34,32
91,Identify two methods of trade protection other than tariffs,"quotas, embargoes, voluntary export restraint, red tape / bureaucracy / artificially high standards, subsidies",Method of trade protection is closing border and declaring trade war.,1,110,69,14,11,0.0,23.0,0.0,33,23,22,13,14
92,Identify two methods of trade protection other than tariffs,"quotas, embargoes, voluntary export restraint, red tape / bureaucracy / artificially high standards, subsidies",Methods of trade protection are embargo and quota system.,2,110,57,14,9,0.0,22.0,0.0,35,50,50,37,37
93,two factors that influence an individuals choice of occupation,"working hours / leisure time, holidays, job security / job insecurity, wages",The main factors that determine the choice of occupation of people is money they will make and how attractive the employer is.,1,76,126,12,22,0.0,29.0,0.0,37,34,36,23,21
94,two factors that influence an individuals choice of occupation,"working hours / leisure time, holidays, job security / job insecurity, wages",Factors that determine choice of occupation is length of time on the job and security of job while at it.,2,76,105,12,20,2.0,27.0,0.07407407407407407,51,100,48,49,49
95,two factors that influence an individuals choice of occupation,"working hours / leisure time, holidays, job security / job insecurity, wages","Factors that will determine an individual choice of occupation is the length of time that it will take while doing the job. Another factor is extent of job security that is guaranteed when in the job. When there is high likelihood of job security, people are more likely to pick a particular job.",3,76,296,12,53,2.0,48.0,0.041666666666666664,45,100,41,41,13
96,"Explain, using information from the extract, why the size of Japans population has fallen in recent years.","The birth rate has fallen (1) more than the fall in the death rate ,A fall in the birth rate means fewer children are being born, a reason e.g. more women working / people working longer hours / job insecurity /looking after elderly relatives , A fall in the death rate means people are living longer ,If the birth rate falls by more than the death rate there may be a natural decrease in population ,actual decrease if natural decrease is more than net immigration, extra number of older people is more than offset by fewer babies ",Japan population reduced due to fall in rate of birth.,2,532,54,98,10,5.0,66.0,0.07575757575757576,22,100,25,75,17
97,"Explain, using information from the extract, why the size of Japans population has fallen in recent years.","The birth rate has fallen (1) more than the fall in the death rate ,A fall in the birth rate means fewer children are being born, a reason e.g. more women working / people working longer hours / job insecurity /looking after elderly relatives , A fall in the death rate means people are living longer ,If the birth rate falls by more than the death rate there may be a natural decrease in population ,actual decrease if natural decrease is more than net immigration, extra number of older people is more than offset by fewer babies ","Japan population has fallen due to decrease in birth rate in the country owing to certain government policies. Also, government has allowed for improved conditions assisting the general population structure. ",3,532,208,98,31,9.0,81.0,0.1111111111111111,20,100,28,44,1
98," Explain, using information from the extract, why the size of Japans population has fallen in recent years.","The birth rate has fallen (1) more than the fall in the death rate ,A fall in the birth rate means fewer children are being born, a reason e.g. more women working / people working longer hours / job insecurity /looking after elderly relatives , A fall in the death rate means people are living longer ,If the birth rate falls by more than the death rate there may be a natural decrease in population ,actual decrease if natural decrease is more than net immigration, extra number of older people is more than offset by fewer babies ",People are dying more in the country and this reducing the population.,1,532,70,98,12,5.0,67.0,0.07462686567164178,38,100,30,67,18
99,What is meant by fixed cost?,A cost that does not change with output/production in the short run ,Fixed cost refers to cost of things that do not change with output such as equipment. These costs are absent in the long run where all factors of production vary with output level. It can be arrived mathematically as FC= Total Cost-Variable Cost,3,68,245,13,43,8.0,50.0,0.16,60,100,39,89,10
100,What is meant by fixed cost?,A cost that does not change with output/production in the short run ,These are costs of things that do not change with output.,2,68,57,13,11,4.0,24.0,0.16666666666666666,63,100,61,70,67
101,What is meant by fixed cost?,A cost that does not change with output/production in the short run ,These are costs that are fixed.,1,68,31,13,6,1.0,18.0,0.05555555555555555,48,100,53,43,45
102,Identify two types of business organisation that operate in the private sector,"sole trader, public limited companies, cooperatives, multinationals",Two types of business organisation in private sector are sole proprietorship which is just one owner and a partnership business involving more than one owners.,3,67,159,7,25,1.0,30.0,0.03333333333333333,28,100,28,20,23
103,Identify two types of business organisation that operate in the private sector,"sole trader, public limited companies, cooperatives, multinationals",Sole Proprietor and Partnership,2,67,31,7,4,1.0,11.0,0.09090909090909091,32,100,45,25,25
104,Identify two types of business organisation that operate in the private sector,"sole trader, public limited companies, cooperatives, multinationals",one person business and two person business,1,67,43,7,7,0.0,12.0,0.0,26,48,35,33,36
105,Explain what effect more firms producing tyres would have on the Price elasticity of demand of individual firms tyres,"Will increase competition, more substitutes will be available, a rise in the price of one firms tyres would cause people to switch to other firms tyres , demand would become more elastic.",The effect on PED is that it becomes elastic due to more producers.,2,189,67,32,13,3.0,40.0,0.075,42,100,47,46,43
106,Explain what effect more firms producing tyres would have on the Price elasticity of demand of individual firms tyres,"Will increase competition, more substitutes will be available, a rise in the price of one firms tyres would cause people to switch to other firms tyres , demand would become more elastic.",The will be more change in the demand of the good,1,189,49,32,11,7.0,36.0,0.19444444444444445,53,100,41,83,34
107,Explain what effect more firms producing tyres would have on the Price elasticity of demand of individual firms tyres,"Will increase competition, more substitutes will be available, a rise in the price of one firms tyres would cause people to switch to other firms tyres , demand would become more elastic.","The effect on PED is that it becomes more elastic. This is because as there are more firms, substitutes exist and a small change in price of a firms tire will lead to greater change in the quantity demanded of the product.",3,189,222,32,42,10.0,61.0,0.16393442622950818,31,100,59,64,5
108,Explain how market forces will eliminate a surplus and a shortage,"A surplus will be eliminated by a fall in price (1) demand will rise / supply will fall, a shortage will be eliminated by a rise in price, demand will fall /supply will rise.",Surplus is addressed by fall in price while shortage is dealt with by rise in price. ,2,174,85,34,17,7.0,33.0,0.21212121212121213,53,100,65,72,53
109,Explain how market forces will eliminate a surplus and a shortage,"A surplus will be eliminated by a fall in price (1) demand will rise / supply will fall, a shortage will be eliminated by a rise in price, demand will fall /supply will rise.",Surplus and shortage are dealt with by an interaction of market forces in the economy,1,174,85,34,15,4.0,34.0,0.11764705882352941,40,100,47,46,38
110,Explain how market forces will eliminate a surplus and a shortage,"A surplus will be eliminated by a fall in price (1) demand will rise / supply will fall, a shortage will be eliminated by a rise in price, demand will fall /supply will rise.","Surplus is usually dealt with by market force through a fall in price. As price falls, consumers demand more while suppliers reduce the rate of goods that they actually produce in the process. On the other hand, shortage is dealt with via rise in price of the product. As prices rise, there is low demand for the product while suppliers have high incentive to produce goods.",3,174,374,34,66,9.0,68.0,0.1323529411764706,40,100,38,77,3
111,Analyse how improvements in education can affect the pattern of employment.,"May be more skilled workers increase qualifications, workers may seek better paid jobs, jobs with better working conditions, There is likely to be a reduction in primary sector employment, an increase in secondary / tertiary sector employment.May be an increase in women in employment, if girls benefit from improvements in education, May increase employment of teachers if e.g. class sizes are reduced ,may encourage an increase in migrant workers  attracted by better education for their children","Due to improvement in education, people are able to hold better qualifications and have jobs with good working conditions. As their level of qualification improve, they seek more jobs in the white collar sector and leave primary jobs like subsistence farming",3,498,258,77,41,14.0,91.0,0.15384615384615385,33,100,37,61,1
112,Analyse how improvements in education can affect the pattern of employment.,"May be more skilled workers increase qualifications, workers may seek better paid jobs, jobs with better working conditions, There is likely to be a reduction in primary sector employment, an increase in secondary / tertiary sector employment.May be an increase in women in employment, if girls benefit from improvements in education, May increase employment of teachers if e.g. class sizes are reduced ,may encourage an increase in migrant workers  attracted by better education for their children","Through improvement in education, people seek well paying jobs and abandon old one.",2,498,83,77,13,4.0,68.0,0.058823529411764705,49,100,38,43,23
113,Analyse how improvements in education can affect the pattern of employment.,"May be more skilled workers increase qualifications, workers may seek better paid jobs, jobs with better working conditions, There is likely to be a reduction in primary sector employment, an increase in secondary / tertiary sector employment.May be an increase in women in employment, if girls benefit from improvements in education, May increase employment of teachers if e.g. class sizes are reduced ,may encourage an increase in migrant workers  attracted by better education for their children",There are less farmers and everyone goes to the city for jobs and employment opportunities,1,498,90,77,15,6.0,69.0,0.08695652173913043,40,100,31,54,23
114,Define a capital good,A human-made good used to produce other goods and services.,They are goods that bring up others.,2,59,36,10,7,1.0,17.0,0.058823529411764705,53,100,51,45,45
115,Define a capital good,A human-made good used to produce other goods and services.,They are goods that require huge capital outlay,1,59,47,10,8,1.0,18.0,0.05555555555555555,39,100,38,34,34
116,Define a capital good,A human-made good used to produce other goods and services.,"These are goods that are used in the production of other goods and services. They include vehicles, buildings and machines.",3,59,123,10,20,5.0,27.0,0.18518518518518517,73,100,62,67,54
117,Explain two causes of an increase in a countrys Human Development Index,"an increase in GDP / GNI / income per head raises the goods and services people can consume / due to e.g. higher employment, an increase in life expectancy  indicates better healthcare / due to better healthcare / more investment in healthcare, an increase in education mean and expected years of schooling increases job opportunities / quality of life / due to government investing more in education",When people are healthy and when they like the government everytime,1,400,67,68,11,4.0,53.0,0.07547169811320754,46,100,51,57,23
118,Explain two causes of an increase in a countrys Human Development Index,"an increase in GDP / GNI / income per head raises the goods and services people can consume / due to e.g. higher employment, an increase in life expectancy  indicates better healthcare / due to better healthcare / more investment in healthcare, an increase in education mean and expected years of schooling increases job opportunities / quality of life / due to government investing more in education",One of the major causes of an increase in Human Development Index is increase in Gdp per capita which helps to improve living standard. Another important cause of increase is the improvement in education standards in the country which makes people better.,3,400,255,68,42,10.0,74.0,0.13513513513513514,30,100,42,43,9
119,Explain two causes of an increase in a countrys Human Development Index,"an increase in GDP / GNI / income per head raises the goods and services people can consume / due to e.g. higher employment, an increase in life expectancy  indicates better healthcare / due to better healthcare / more investment in healthcare, an increase in education mean and expected years of schooling increases job opportunities / quality of life / due to government investing more in education",Increase in GDP of the economy. Education,2,400,41,68,7,6.0,50.0,0.12,56,100,35,89,18
120,Identify two supply-side policy measures,"a cut in income tax, a cut in corporation tax, a cut in unemployment benefit, education, training, privatization, deregulation, subsidy, legislation to reduce trade union power",Supply side policy are government attempts to increase productivity in the economy. One of such way will be reducing tax rate in the general economy and reducing unemployment benefits to make people partake more in jobs and employment process.,3,176,243,26,39,3.0,52.0,0.057692307692307696,32,100,40,26,5
121,Identify two supply-side policy measures,"a cut in income tax, a cut in corporation tax, a cut in unemployment benefit, education, training, privatization, deregulation, subsidy, legislation to reduce trade union power",Cut in taxes and bringing up legislations,2,176,41,26,7,2.0,26.0,0.07692307692307693,51,100,49,36,33
122,Identify two supply-side policy measures,"a cut in income tax, a cut in corporation tax, a cut in unemployment benefit, education, training, privatization, deregulation, subsidy, legislation to reduce trade union power",Increasing prices and hoarding commodities in the market.,1,176,57,26,8,1.0,27.0,0.037037037037037035,33,100,39,31,29
123,Explain two ways a government could reduce relative poverty,"progressive taxation / higher direct taxes (1) which takes a higher proportion of the income of the rich, reduction of tax on basic foodstuffs / indirect taxes benefiting mainly the poor, state benefits given to the poor increasing their purchasing power/ living standards, education and training of the poor increasing their earning. Potential, provision of healthcare to the poor increasing productivity/reducing cost of medication, provision of subsidies to firms reducing unemployment / reducing prices",One way of doing this is for government to properly tax the rich and make use of progressive tax policy.Another way is by giving state benefits to enable them increase their buying power ,3,506,187,74,34,9.0,79.0,0.11392405063291139,44,100,37,53,40
124,Explain two ways a government could reduce relative poverty,"progressive taxation / higher direct taxes (1) which takes a higher proportion of the income of the rich, reduction of tax on basic foodstuffs / indirect taxes benefiting mainly the poor, state benefits given to the poor increasing their purchasing power/ living standards, education and training of the poor increasing their earning. Potential, provision of healthcare to the poor increasing productivity/reducing cost of medication, provision of subsidies to firms reducing unemployment / reducing prices",Government can do this by making people live within their means and making them appreciate what they have,1,506,105,74,18,2.0,67.0,0.029850746268656716,29,100,38,22,19
125,Explain two ways a government could reduce relative poverty,"progressive taxation / higher direct taxes (1) which takes a higher proportion of the income of the rich, reduction of tax on basic foodstuffs / indirect taxes benefiting mainly the poor, state benefits given to the poor increasing their purchasing power/ living standards, education and training of the poor increasing their earning. Potential, provision of healthcare to the poor increasing productivity/reducing cost of medication, provision of subsidies to firms reducing unemployment / reducing prices",Government can eliminate this by implementing good tax policy and by improving living standard,2,506,94,74,14,3.0,63.0,0.047619047619047616,32,100,32,27,17
126,Analyse the reasons why small shops may be easy to set up,"They do not take much money to set up, costs initially will be low. low fixed costs it may be possible to borrow the money or use savings. There may be government subsidies designed to encourage the growth of small firms/shops / lower costs of production. Running a small shop does not require significant management skills people do not need a high level of education to run a small shop, may be less paperwork involved / regulations reducing time and effort.",The nature of the business and small things are easy,1,460,52,81,10,4.0,68.0,0.058823529411764705,37,100,29,50,16
127,Analyse the reasons why small shops may be easy to set up,"They do not take much money to set up, costs initially will be low. low fixed costs it may be possible to borrow the money or use savings. There may be government subsidies designed to encourage the growth of small firms/shops / lower costs of production. Running a small shop does not require significant management skills people do not need a high level of education to run a small shop, may be less paperwork involved / regulations reducing time and effort.",The capital is small and no experience is required.,2,460,51,81,9,3.0,67.0,0.04477611940298507,41,100,30,43,16
128,Analyse the reasons why small shops may be easy to set up,"They do not take much money to set up, costs initially will be low. low fixed costs it may be possible to borrow the money or use savings. There may be government subsidies designed to encourage the growth of small firms/shops / lower costs of production. Running a small shop does not require significant management skills people do not need a high level of education to run a small shop, may be less paperwork involved / regulations reducing time and effort.",": An important reason is that it has small capital requirement and cost will generally be low. Also, due to small nature, management skills required is small and limited",3,460,169,81,29,9.0,84.0,0.10714285714285714,37,100,36,47,37
129,Identify two reasons why market failure may occur.,The existence of external costs and external benefits. Abuse of monopoly power advertising distorting choice. Inefficient allocation of resources / not producing the right quantity / not producing at the lowest possible cost.,One of the reasons is externality and another reason is lack of control on resources,2,225,84,33,15,4.0,38.0,0.10526315789473684,48,100,38,41,38
130,Identify two reasons why market failure may occur.,The existence of external costs and external benefits. Abuse of monopoly power advertising distorting choice. Inefficient allocation of resources / not producing the right quantity / not producing at the lowest possible cost.,Lack of transparent habit by participants and lak of laws and regulation.,1,225,73,33,12,2.0,35.0,0.05714285714285714,34,100,32,25,26
131,Identify two reasons why market failure may occur.,The existence of external costs and external benefits. Abuse of monopoly power advertising distorting choice. Inefficient allocation of resources / not producing the right quantity / not producing at the lowest possible cost.,positive and negative externality in the economy. Absence of public goods can also lead to market failure in the economy.,3,225,121,33,20,3.0,42.0,0.07142857142857142,32,100,35,32,42
132,   Explain how resources are allocated in a mixed economic system.,"Resources in the public sector are allocated by government decisions/directives products are produced by state-owned
enterprises resources are allocated to overcome market failure. Resources in the private sector are allocated by the price mechanism / market forces demand and supply / firms / consumer sovereignty, profit provides an incentive for firms to produce what consumers demand.
Resources in the public sector are allocated by government decisions/directives products are produced by state-owned
enterprises resources are allocated to overcome market failure. Resources in the private sector are allocated by the price mechanism / market forces demand and supply / firms / consumer sovereignty, profit provides an incentive for firms to produce what consumers demand.
",Both private and public sector are involved in resources allocation in mixed economy,1,778,84,109,13,7.0,50.0,0.14,44,100,29,68,17
133,Explain how resources are allocated in a mixed economic system.,"Resources in the public sector are allocated by government decisions/directives products are produced by state-owned enterprises resources are allocated to overcome market failure. Resources in the private sector are allocated by the price mechanism / market forces demand and supply / firms / consumer sovereignty, profit provides an incentive for firms to produce what consumers demand",Resources are allocated through market force and government.,2,387,60,56,8,5.0,45.0,0.1111111111111111,63,100,49,87,26
134,Explain how resources are allocated in a mixed economic system.,"Resources in the public sector are allocated by government decisions/directives products are produced by state-owned enterprises resources are allocated to overcome market failure. Resources in the private sector are allocated by the price mechanism / market forces demand and supply / firms / consumer sovereignty, profit provides an incentive for firms to produce what consumers demand","A mixed economy consist of the private sector and public sector. In the private sector, resources are allocated using price mechanism and market forces while in the public sector, resources are allocated through state-owned enterprise.",3,387,235,56,35,14.0,62.0,0.22580645161290322,34,100,22,77,2
135,Analyse how a high rate of inflation may harm the poor,"Inflation may raise the price of basic necessities reducing purchasing power of the poor increasing absolute poverty. Inflation may reduce the value of any savings the poor have reducing their ability to access e.g. healthcare, education and housing reducing job opportunities. Inflation may reduce the countrys international competitiveness lower output increase unemployment making it more difficult for the poor to gain jobs. Inflation may reduce the purchasing power of state benefits e.g. pensions or unemployment. The poor may be less likely to belong to trade unions less ability to raise wages.","Inflation can harm the poor via several channels which include consumption and savings. When prices go up, poor peoples purchasing power falls and they are unable to consume more goods. Also, the level of savings generally falls.",3,603,229,91,37,10.0,91.0,0.10989010989010989,8,100,24,45,1
136,Analyse how a high rate of inflation may harm the poor,"Inflation may raise the price of basic necessities reducing purchasing power of the poor increasing absolute poverty. Inflation may reduce the value of any savings the poor have reducing their ability to access e.g. healthcare, education and housing reducing job opportunities. Inflation may reduce the countrys international competitiveness lower output increase unemployment making it more difficult for the poor to gain jobs. Inflation may reduce the purchasing power of state benefits e.g. pensions or unemployment. The poor may be less likely to belong to trade unions less ability to raise wages.","When there is inflation, people consume less and save less too.",2,603,63,91,11,2.0,67.0,0.029850746268656716,40,100,49,49,16
137,Analyse how a high rate of inflation may harm the poor,"Inflation may raise the price of basic necessities reducing purchasing power of the poor increasing absolute poverty. Inflation may reduce the value of any savings the poor have reducing their ability to access e.g. healthcare, education and housing reducing job opportunities. Inflation may reduce the countrys international competitiveness lower output increase unemployment making it more difficult for the poor to gain jobs. Inflation may reduce the purchasing power of state benefits e.g. pensions or unemployment. The poor may be less likely to belong to trade unions less ability to raise wages.","During inflation, the poor get worse and are left at the mercy of government.",1,603,77,91,14,4.0,70.0,0.05714285714285714,25,100,37,52,15
138, Explain two reasons why the price of sugar may fall.,"demand may fall supply may increase, a fall in income will lower demand because of less purchasing power, a fall in population will lower demand as there will be fewer consumers, a change in tastes will lower demand as people may find sugar less appealing, concern about health will lower demand as consumers will switch to other foods, a rise in the price of a complement, a fall in the price of a substitute e.g. sweeteners, reduction in costs of production will increase supply as it is likely to lead to higher profits, subsidies will increase supply as they will give an incentive to firms to produce more, a cut in indirect tax will increase supply as it lowers costs, good weather conditions will increase supply as less of the crop will be lost more firms in the market increasing competition in the market.","Fall in income: When the income of consumers fall, they demand less of the product. As demand falls, price of the good fall also. Change in taste: People can switch consumption from sugar, as they do this, demand falls and price of the good falls also",3,815,251,144,46,15.0,106.0,0.14150943396226415,5,100,6,74,1
139, Explain two reasons why the price of sugar may fall.,"demand may fall supply may increase, a fall in income will lower demand because of less purchasing power, a fall in population will lower demand as there will be fewer consumers, a change in tastes will lower demand as people may find sugar less appealing, concern about health will lower demand as consumers will switch to other foods, a rise in the price of a complement, a fall in the price of a substitute e.g. sweeteners, reduction in costs of production will increase supply as it is likely to lead to higher profits, subsidies will increase supply as they will give an incentive to firms to produce more, a cut in indirect tax will increase supply as it lowers costs, good weather conditions will increase supply as less of the crop will be lost more firms in the market increasing competition in the market.",Price will fall because people dont use it every time and it is possible they live without it.,1,815,95,144,18,8.0,92.0,0.08695652173913043,39,100,25,64,16
140, Explain two reasons why the price of sugar may fall.,"demand may fall supply may increase, a fall in income will lower demand because of less purchasing power, a fall in population will lower demand as there will be fewer consumers, a change in tastes will lower demand as people may find sugar less appealing, concern about health will lower demand as consumers will switch to other foods, a rise in the price of a complement, a fall in the price of a substitute e.g. sweeteners, reduction in costs of production will increase supply as it is likely to lead to higher profits, subsidies will increase supply as they will give an incentive to firms to produce more, a cut in indirect tax will increase supply as it lowers costs, good weather conditions will increase supply as less of the crop will be lost more firms in the market increasing competition in the market.","AS there are less income, price of the good begin to fall in the market and when taste change, price of the good will fall",2,815,122,144,25,12.0,94.0,0.1276595744680851,45,100,32,84,24
141,Analyse the possible reasons why a producers fixed cost may increase.,Fixed costs are costs that do not alter with output in the short run. Rent may increase landlords may decide to charge more for factories and offices. The amount charged for insurance may increase insurance companies may be seeking higher profits / their costs may have risen. Interest paid on loans may increase e.g. the central bank may have increased the rate of interest. A firm may have moved to a larger factory / changed its production process / using more capital goods leading to higher fixed capital costs. Inflation may occur increasing e.g. the cost of workers with long-term contracts,Fixed cost will change due to other factors considered during the process of production,2,597,87,101,14,7.0,83.0,0.08433734939759036,33,100,39,62,21
142,Analyse the possible reasons why a producers fixed cost may increase.,Fixed costs are costs that do not alter with output in the short run. Rent may increase landlords may decide to charge more for factories and offices. The amount charged for insurance may increase insurance companies may be seeking higher profits / their costs may have risen. Interest paid on loans may increase e.g. the central bank may have increased the rate of interest. A firm may have moved to a larger factory / changed its production process / using more capital goods leading to higher fixed capital costs. Inflation may occur increasing e.g. the cost of workers with long-term contracts,Fixed cost can increase during the course of production but this will not be in relation to production activity or levels. Increase is usually caused by several other reasons and factors other than level of production activity,3,597,226,101,37,11.0,100.0,0.11,29,100,6,47,3
143,Analyse the possible reasons why a producers fixed cost may increase.,Fixed costs are costs that do not alter with output in the short run. Rent may increase landlords may decide to charge more for factories and offices. The amount charged for insurance may increase insurance companies may be seeking higher profits / their costs may have risen. Interest paid on loans may increase e.g. the central bank may have increased the rate of interest. A firm may have moved to a larger factory / changed its production process / using more capital goods leading to higher fixed capital costs. Inflation may occur increasing e.g. the cost of workers with long-term contracts,Fixed cost can change as production level changes as time goes on.,1,597,66,101,12,3.0,80.0,0.0375,33,100,35,56,18
144,Define a surplus on the current account of the balance of payments.,When the revenue from trade in goods and trade in services exported exceeds the revenue from trade in goods and trade in services imported. When the inflow from primary income and secondary income is higher than the outflow of primary income and secondary income. Exports greater than imports,This is when there is a surplus on the current account balance in international trade,1,292,85,48,15,5.0,39.0,0.1282051282051282,32,100,36,39,27
145,Define a surplus on the current account of the balance of payments.,When the revenue from trade in goods and trade in services exported exceeds the revenue from trade in goods and trade in services imported. When the inflow from primary income and secondary income is higher than the outflow of primary income and secondary income. Exports greater than imports,Current account surplus is when export exceeds imports,2,292,54,48,8,4.0,33.0,0.12121212121212122,48,100,54,60,23
146,Define a surplus on the current account of the balance of payments.,When the revenue from trade in goods and trade in services exported exceeds the revenue from trade in goods and trade in services imported. When the inflow from primary income and secondary income is higher than the outflow of primary income and secondary income. Exports greater than imports,Surplus on current account refers to a condition in which revenue from trade in goods and services exceeds expenditure spent on goods and services.,3,292,147,48,24,8.0,45.0,0.17777777777777778,46,100,45,57,45
147,Explain two possible causes of low unemployment.,"high levels of economic growth/GDP output requires more workers, high levels of education and training acquire skills needed for jobs, high levels of investment high demand for workers, high levels of consumer spending more production / more labour, high levels of exports increasing demand for labour high government spending / low taxes to stimulate economic growth low interest rates encouraging more consumption / investment.",Desire to work and general attitude of workers.,1,429,47,64,8,3.0,46.0,0.06521739130434782,38,100,48,54,12
148,Explain two possible causes of low unemployment.,"high levels of economic growth/GDP output requires more workers, high levels of education and training acquire skills needed for jobs, high levels of investment high demand for workers, high levels of consumer spending more production / more labour, high levels of exports increasing demand for labour high government spending / low taxes to stimulate economic growth low interest rates encouraging more consumption / investment.",Government spending on the economy and improved investment spending on the economy.,2,429,83,64,12,4.0,47.0,0.0851063829787234,33,100,37,74,28
149,Explain two possible causes of low unemployment.,"high levels of economic growth/GDP output requires more workers, high levels of education and training acquire skills needed for jobs, high levels of investment high demand for workers, high levels of consumer spending more production / more labour, high levels of exports increasing demand for labour high government spending / low taxes to stimulate economic growth low interest rates encouraging more consumption / investment.","Increased investment spending: As investment spending increases in the economy, more industries are born which leads to low unemployment. Increased levels of economic growth: With more or improved level of economic growth, there is a better climate which leads to high unemployment levels.",3,429,289,64,43,9.0,73.0,0.1232876712328767,33,100,3,48,1
150,Analyse how long-term unemployment can cause relative poverty.,"Relative poverty is when household income is low compared to the average income in that country, e.g. less than 60% of average income. Long-term unemployed have very low incomes cannot afford items which average households are able to e.g. adequate housing, healthcare may depend on government benefits may be unable to provide children with good education children may not be able to take up good jobs productivity may be lower compared to those who are better educated. Savings will be used up reducing the ability to escape poverty. Health deteriorates reducing the ability to find work depression may occur reducing the motivation to find work.",Extended unemployment will cause people not to live well and have poverty which can increase crime rate.,1,648,104,105,17,6.0,89.0,0.06741573033707865,27,100,31,45,22
151,Analyse how long-term unemployment can cause relative poverty.,"Relative poverty is when household income is low compared to the average income in that country, e.g. less than 60% of average income. Long-term unemployed have very low incomes cannot afford items which average households are able to e.g. adequate housing, healthcare may depend on government benefits may be unable to provide children with good education children may not be able to take up good jobs productivity may be lower compared to those who are better educated. Savings will be used up reducing the ability to escape poverty. Health deteriorates reducing the ability to find work depression may occur reducing the motivation to find work.","When an individual is unemployed for an extended period of time, they are cut short from ability to purchase what every member of the society can afford. Savings they have accumulated is used up on consumption and they are unable to live up just like everyone else.",3,648,265,105,47,14.0,111.0,0.12612612612612611,8,100,6,50,4
152,Analyse how long-term unemployment can cause relative poverty.,"Relative poverty is when household income is low compared to the average income in that country, e.g. less than 60% of average income. Long-term unemployed have very low incomes cannot afford items which average households are able to e.g. adequate housing, healthcare may depend on government benefits may be unable to provide children with good education children may not be able to take up good jobs productivity may be lower compared to those who are better educated. Savings will be used up reducing the ability to escape poverty. Health deteriorates reducing the ability to find work depression may occur reducing the motivation to find work.","When there is long-term unemployment, people are not able to live comfortably like every other member of the society.",2,648,117,105,19,9.0,91.0,0.0989010989010989,39,100,37,52,23
153,Define supply-side policy,Policy which is designed to increase the total (aggregate) output / supply / productive capacity of an economy. Policy aimed at making markets work more efficiently to encourage economic growth,These are policies by government that improve production capacity in the economy,2,193,80,30,12,2.0,39.0,0.05128205128205128,50,100,41,44,42
154,Define supply-side policy,Policy which is designed to increase the total (aggregate) output / supply / productive capacity of an economy. Policy aimed at making markets work more efficiently to encourage economic growth,These are policies from the suppliers in the economy,1,193,52,30,9,1.0,35.0,0.02857142857142857,44,100,48,37,34
